,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
8465,0.228,The Ronettes,0.382,136307,0.879,0,0.0,7,0.408,-7.584,1,Frosty the Snowman,71,0.0642,143.741,0.5589999999999999,1963
8467,0.6409999999999999,The Beatles,0.482,155227,0.8490000000000001,0,7.74e-06,2,0.0414,-9.198,1,Twist And Shout - Remastered 2009,73,0.0452,124.631,0.937,1963
8468,0.623,Johnny Cash,0.659,158427,0.585,0,0.000213,7,0.348,-8.189,1,Ring of Fire,70,0.0288,104.111,0.784,1963
8469,0.6609999999999999,The Beach Boys,0.55,149373,0.8540000000000001,0,0.0,3,0.1119999999999999,-5.968,1,Surfin' U.S.A. - Remastered,70,0.036,159.231,0.965,1963
8473,0.27,The Beatles,0.491,173947,0.8009999999999999,0,0.0,4,0.0665,-9.835,1,I Saw Her Standing There - Remastered 2009,68,0.0361,160.109,0.971,1963
8475,0.914,Bob Dylan,0.38,165427,0.0993,0,2.32e-05,2,0.0605,-20.567,1,Blowin' in the Wind,69,0.0509,174.87400000000005,0.44,1963
8682,0.731,Chuck Berry,0.525,161907,0.852,0,5.11e-05,7,0.218,-9.519,1,You Never Can Tell,70,0.222,157.404,0.884,1964
8673,0.887,Bob Dylan,0.389,192053,0.396,0,0.0,7,0.0828,-7.999,1,The Times They Are A-Changin',68,0.0332,171.86,0.585,1964
8671,0.76,The Supremes,0.595,158040,0.643,0,0.0,5,0.5379999999999999,-9.275,1,Baby Love,68,0.0365,135.63299999999998,0.73,1964
8669,0.493,The Kinks,0.573,134253,0.939,0,0.0,8,0.0994,-6.441,1,You Really Got Me - Mono Mix,70,0.0808,137.382,0.963,1964
8668,0.2789999999999999,Otis Redding,0.883,172333,0.4639999999999999,0,1.51e-05,10,0.0744,-11.251,1,Stand by Me,69,0.0591,111.548,0.925,1964
8667,0.8370000000000001,Simon & Garfunkel,0.525,185413,0.216,0,0.0,6,0.107,-13.550999999999998,1,The Sound of Silence - Acoustic Version,73,0.0301,106.761,0.3279999999999999,1964
8666,0.723,Sam Cooke,0.212,191160,0.3829999999999999,0,0.0,10,0.299,-10.071,1,A Change Is Gonna Come,68,0.0347,173.79,0.452,1964
8664,0.000385,The Animals,0.295,271280,0.584,0,0.218,9,0.0996,-6.6960000000000015,0,House Of The Rising Sun,69,0.0345,117.2,0.228,1964
8663,0.108,The Beach Boys,0.602,118840,0.5529999999999999,0,0.0,11,0.0512,-9.336,1,Little Saint Nick - 1991 Remix,75,0.0328,130.594,0.971,1964
