,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
19,1939,0.9090123100000008,0.5136558000000002,220997.613,0.2848278000000002,0.2815879544100002,0.2408572999999999,-13.847035000000004,0.1286781999999999,113.32418199999996,0.5612246999999995,4.096,0,1
20,1940,0.8465204781704744,0.5254509875259874,181590.275987526,0.3122784251559252,0.322913291709979,0.2624801975051977,-13.61239864864866,0.2457615384615385,108.87211070686068,0.622196382536383,0.8503118503118503,7,1
21,1941,0.8946919855222363,0.4810745604963815,201647.8428128232,0.2654865253360909,0.4427099635367114,0.201598552223371,-15.728245087900715,0.0918122026887282,107.84667114788004,0.4806512926577037,1.2771458117890382,7,1
22,1942,0.8536987646363056,0.4650137196924897,222156.54642223535,0.2554481194559435,0.3938495491070367,0.2124112950916613,-15.029963926670622,0.0839814311058544,106.005413956239,0.4781145476049686,1.1324659964518036,7,1
23,1943,0.9030772355742333,0.4550971988795515,239661.58963585435,0.2798906582633053,0.4100970037254907,0.239849579831933,-13.602957983193289,0.1055901960784313,106.17102801120453,0.4953791316526606,1.0742296918767509,5,1
24,1944,0.9082415045395608,0.5025696498054477,244107.42282749675,0.2526620881971467,0.4509160582230864,0.2368885862516211,-14.56026977950712,0.1725430609597923,105.92034241245136,0.5419750972762646,2.9299610894941632,10,1
25,1945,0.7113860130000009,0.5178561500000012,195720.2665,0.2254125705,0.2749280698699996,0.2033342000000001,-16.927997499999986,0.3017135499999997,108.25691699999986,0.4914163,2.093,0,1
26,1946,0.9206274223245068,0.4151410817031067,266923.7186421174,0.222360736478711,0.4867359873647864,0.2105031645569622,-16.89752876869964,0.0885256041426929,103.12142577675488,0.4007510932105872,1.6599539700805523,7,1
27,1947,0.9156553832938352,0.4721039099526071,232131.8827014218,0.2629551777251186,0.3512090884182467,0.2234450236966823,-14.414843601895752,0.1002286137440758,108.97288329383876,0.5091807464454978,1.6421800947867298,0,1
28,1948,0.9229491499999952,0.4627362500000003,200208.082,0.2414835490000002,0.3618871379399996,0.2187986499999996,-15.51719899999999,0.1607817000000002,107.68421149999982,0.4622106500000003,1.4295,0,1
29,1949,0.9070877949999956,0.4440308999999995,223351.576,0.2472140149999996,0.2987586894049995,0.2095805000000004,-15.490746999999995,0.10339205,108.87556349999996,0.4343336000000002,3.771,0,1
30,1950,0.8228144005999973,0.5290370500000003,208073.6155,0.3035360500000004,0.2116878559149997,0.2249315000000002,-14.400895999999976,0.2504793500000001,110.50021199999986,0.5570353999999995,3.86,7,1
31,1951,0.9003344356499973,0.4614230999999998,212773.3105,0.25727004,0.3032900804900004,0.2195398999999999,-15.724955500000034,0.1073512499999999,109.56988249999984,0.44362545,3.4195,0,1
32,1952,0.8755217394999967,0.4560211999999999,231152.291,0.2556151100000002,0.2838636318400002,0.2338555499999999,-15.794886500000011,0.1378030999999998,108.2383544999999,0.4429670620499996,3.505,0,1
33,1953,0.8917467414999969,0.4408336999999999,216552.2595,0.2674182099999996,0.3146247884099999,0.2214423999999999,-15.414304499999988,0.09259075,110.00811300000004,0.4322510000000001,3.6725,0,1
34,1954,0.8674129972999983,0.4603712499999994,225951.7585,0.2635610349999999,0.2913203831600003,0.2160078,-15.342990500000004,0.1032431499999998,108.56191249999992,0.4472911499999997,7.707,5,1
35,1955,0.8491544579549977,0.4863890999999999,220322.8975,0.2883765949999995,0.2297107907100001,0.2240123499999997,-14.261971999999997,0.0979929000000001,110.58108099999998,0.4693549500000002,9.765,0,1
36,1956,0.8234554899999978,0.4892960500000006,211950.807,0.3026952100000004,0.232106417075,0.1840064000000007,-14.179832500000003,0.0628768499999999,111.88017150000016,0.5086227499999999,15.7935,0,1
37,1957,0.793775100000002,0.5036533999999999,240072.304,0.2938097549999997,0.2037721936399999,0.1862875999999999,-14.271581000000037,0.0675755999999999,112.52888549999987,0.5109486000000003,19.7005,0,1
38,1958,0.7774467449999998,0.4781315499999994,213321.451,0.3088676800000003,0.1898625441849998,0.2026458500000004,-14.219955000000024,0.0576190999999998,112.51172399999992,0.49033495,19.2315,0,1
39,1959,0.7849092200000009,0.4797628500000004,211928.132,0.3122101900000001,0.1838199089899998,0.1925164000000002,-14.413364000000012,0.06436665,111.38834,0.478257100000001,20.5825,0,1
40,1960,0.7682544230000004,0.4820517000000005,210238.5085,0.3393798,0.1816553537699999,0.2077554000000002,-13.806002000000031,0.0649570999999999,112.35459950000012,0.5190262500000005,19.8485,5,1
41,1961,0.7581470750000001,0.4877147500000002,234195.0765,0.3360766739999992,0.2653712692050001,0.2076433499999995,-14.269377000000018,0.0592720999999999,111.6490555,0.5073552999999997,19.308,0,1
42,1962,0.7259418515000001,0.4907443999999994,206267.5385,0.3660735799999996,0.1712090730900001,0.2017907000000002,-13.273912499999977,0.0565256499999999,114.68595150000009,0.5415934000000002,21.93,0,1
43,1963,0.7181344800000005,0.4840931499999998,201515.5245,0.3734276849999997,0.1996008864449999,0.20455155,-13.36989399999999,0.0516055499999999,114.3029374999999,0.5399190500000004,25.126,0,1
44,1964,0.6950623058470748,0.5018954522738626,195398.0179910045,0.3968526386806599,0.1670197079860068,0.2155891054472769,-12.844956021989,0.0616286856571713,114.70529685157432,0.5572052973513241,25.7496251874063,5,1
