,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
2016,mpb,0.5150347003505361,0.5598627274035063,213242.73724625635,0.5283418602559475,0.0873270230542725,0.1905667142752217,-10.945097924724134,0.0607707392918931,118.5172519783686,0.6138668986448931,39.80495517060243,2,1
2017,mumbai indie,0.059,0.71,263283.0,0.634,0.254,0.0663,-8.414,0.0302,138.061,0.799,5.0,9,1
2018,munich electronic,0.0091610222222222,0.7828750000000001,274020.23611111107,0.7371944444444444,0.5093711666666668,0.1586638888888889,-8.333402777777778,0.0719027777777777,132.92777777777778,0.4028333333333333,4.138888888888888,2,1
2019,music box,0.6613416666666666,0.554475,116003.75833333332,0.248125,0.0438074771666666,0.1216166666666666,-15.663999999999998,0.0584233333333333,96.42584166666666,0.3070833333333332,23.766666666666666,6,1
2020,music hall,0.9332857142857144,0.6671,234498.1,0.3206814285714286,0.0242228886428571,0.2538571428571429,-15.381707142857143,0.2495692857142856,111.5542,0.7298499999999999,9.864285714285714,0,1
2021,musica afroperuana,0.2970371672413793,0.5637586206896551,216927.9827586207,0.8784137931034481,0.1244496620689655,0.2322844827586207,-7.1419827586206885,0.0993603448275862,139.80825862068966,0.592948275862069,37.293103448275865,11,1
2022,musica alagoana,0.4575454545454546,0.6559999999999999,253802.36363636365,0.4433636363636364,0.0001157272727272,0.1665636363636363,-12.622727272727271,0.0423272727272727,119.35363636363635,0.6689090909090909,55.0,9,1
2023,musica andina,0.6537555555555554,0.5602666666666668,281995.7111111112,0.5505333333333333,0.0404850871111111,0.1463222222222222,-10.512711111111113,0.0702844444444444,116.3904,0.6152888888888889,45.06666666666666,10,0
2024,musica andina colombiana,0.3040583333333334,0.7707916666666664,225023.125,0.5844166666666667,0.00461319,0.1076958333333333,-8.001291666666667,0.1077749999999999,110.15183333333334,0.9282499999999996,44.25,0,1
2025,musica andorra,0.0130361538461538,0.7219230769230769,1744153.3076923075,0.7026153846153846,0.473046153846154,0.1808461538461538,-7.815307692307693,0.1183846153846153,132.0303076923077,0.3073076923076923,0.0,11,1
2026,musica antigua,0.995,0.5209999999999999,157492.5,0.12522,0.879,0.1265,-24.856,0.07245,98.515,0.5015000000000001,0.0,4,1
2027,musica aragonesa,0.1332530769230769,0.5084615384615383,255910.3076923077,0.8321153846153843,0.024846275,0.1837538461538461,-5.118384615384618,0.0449692307692307,134.6563461538462,0.519307692307692,48.23076923076921,9,0
2028,musica ayacuchana,0.593,0.5479999999999999,269093.0,0.8140000000000001,1.65e-05,0.143,-5.624,0.0406,98.501,0.667,50.0,2,1
2029,musica canaria,0.4407777777777777,0.7939259259259259,193325.66666666663,0.6844074074074075,0.0021671185185185,0.1421333333333333,-5.218814814814814,0.1041703703703703,104.65714814814817,0.7292222222222221,65.77777777777779,6,1
2030,musica catalana,0.0145,0.457,230008.0,0.7,0.00011,0.236,-7.152,0.0595,120.142,0.381,0.0,2,1
2031,musica costarricense,0.338,0.617,223467.0,0.3720000000000001,0.0,0.159,-13.622,0.0339,131.562,0.286,53.0,2,1
2032,musica costena,0.2233575091575091,0.7100879120879119,196542.1465201465,0.6398644688644689,0.0065600456043956,0.1121457875457875,-8.025890109890112,0.0472937728937729,115.6908956043956,0.8463809523809526,43.95970695970696,11,1
2033,musica cristiana guatemalteca,0.4208,0.5615,265815.25,0.52375,2.1550000000000005e-05,0.11365,-9.63125,0.03135,139.055,0.4985,42.25,9,1
2034,musica de fondo,0.668825,0.6857,138966.0,0.46438,0.6439285000000001,0.24,-12.40895,0.09283,97.17675,0.3540899999999999,5.9,2,0
2035,musica hondurena,0.1699999999999999,0.7805,287159.0,0.6721666666666667,0.0083970833333333,0.2098,-11.076,0.0633833333333333,114.731,0.8176666666666667,43.66666666666667,3,1
2036,musica indigena brasileira,0.944,0.425,70772.0,0.0612,0.0,0.183,-16.703,0.096,106.997,0.159,0.0,8,1
2037,musica infantil,0.6173,0.6580166666666667,223286.5833333333,0.5207666666666667,0.0053099875,0.135275,-13.177366666666666,0.146245,124.52426666666668,0.6314000000000001,33.2,7,1
2038,musica jibara,0.6851928571428572,0.6318785714285715,212076.0452380952,0.4842071428571428,0.0001263862619047,0.1463309523809523,-9.01912142857143,0.0589261904761904,107.3473642857143,0.7704642857142857,25.42619047619048,9,0
2039,musica juiz-forana,0.39855,0.6595,208480.0,0.5585,0.023254515,0.153,-11.6,0.0757,127.191,0.7515000000000001,24.5,11,1
2040,musica llanera,0.5930609477124184,0.5740844226579519,210845.00544662308,0.588136165577342,0.0077121598366013,0.1555309912854031,-9.693092047930284,0.0497633986928104,120.22515196078427,0.7844776688453158,36.73747276688453,7,1
2041,musica nicaraguense,0.741,0.4993625,208121.075,0.4161375,0.0090318334375,0.1963025,-10.653581250000002,0.0473974999999999,119.2063125,0.597325,23.35,5,1
2042,musica para criancas,0.3,0.721,298933.0,0.8590000000000001,0.00111,0.0244,-14.454,0.172,143.667,0.794,49.0,1,1
2043,musica para ninos,0.475190476190476,0.4947777777777777,141563.75396825394,0.3037255722222222,0.0033950476190476,0.0837309523809523,-12.11146031746032,0.0574039682539682,112.09770634920638,0.5408174603174603,46.84126984126985,5,1
2044,musica paraibana,0.7150000000000001,0.609,215813.5,0.3085,0.0,0.8455,-10.8525,0.0438,126.647,0.5665,56.0,11,1
2045,musica pernambucana,0.629,0.595,327123.0,0.5589999999999999,0.0,0.127,-7.132999999999999,0.0366,129.369,0.8340000000000001,14.0,3,1
2046,musica piemonteisa,0.968,0.4520000000000001,200673.0,0.4015,0.01405,0.2097,-11.518,0.1413,157.21749999999997,0.7484999999999999,2.0,8,1
2047,musica popular colombiana,0.4203070172344442,0.6896554766545996,237494.0323138092,0.55497387295399,0.0040044706566725,0.1558430728054704,-8.366834037253629,0.0663832858380519,123.07063187289214,0.8067137566137567,39.67767412358056,9,1
2048,musica popular mineira,0.3388408413461539,0.5387235576923077,175021.1302884615,0.4609240384615385,0.0581974728365384,0.1903664423076923,-12.605123557692307,0.0584883173076923,125.27906826923078,0.5839807692307692,40.85240384615385,4,0
