,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
7468,0.916,Ella Fitzgerald,0.172,298133,0.0696,0,0.00199,11,0.1369999999999999,-21.295,0,Summertime,66,0.0339,167.97400000000005,0.103,1958
7466,0.88,Dean Martin,0.612,181627,0.144,0,0.0,6,0.203,-12.204,0,Volare (Nel Blu Di Pinto Di Blu) - Remastered,65,0.0352,128.629,0.3429999999999999,1958
7465,0.733,Elvis Presley,0.357,136027,0.7559999999999999,0,0.00505,0,0.76,-8.492,1,Hound Dog,67,0.0621,174.797,0.95,1958
7464,0.41,Elvis Presley,0.647,146480,0.5820000000000001,0,1.93e-06,10,0.0715,-9.538,0,Jailhouse Rock,70,0.0755,167.396,0.915,1958
7463,0.298,Bobby Day,0.541,160080,0.608,0,0.0,7,0.2339999999999999,-13.083,1,Rockin' Robin,62,0.106,171.99200000000005,0.938,1958
7462,0.845,Frank Sinatra,0.574,199093,0.3379999999999999,0,0.0,6,0.165,-11.376,1,Come Fly With Me - Remastered,68,0.042,67.008,0.493,1958
7467,0.584,Buddy Holly,0.747,129120,0.2189999999999999,0,2.57e-05,3,0.107,-12.562,1,Everyday,63,0.0371,135.562,0.498,1958
7687,0.8370000000000001,Chuck Berry,0.715,144600,0.797,0,0.0,3,0.209,-10.154,1,Roll Over Beethoven,60,0.193,92.739,0.841,1959
7686,0.8079999999999999,Ray Charles,0.54,307053,0.6809999999999999,0,0.0,4,0.162,-5.44,1,"What'd I Say, Pt. 1 & 2",61,0.0508,88.385,0.794,1959
7683,0.74,Fats Domino,0.489,147880,0.499,0,0.000236,11,0.156,-9.702,1,Blueberry Hill,60,0.0271,133.341,0.8290000000000001,1959
7680,0.23,Peggy Lee,0.838,199600,0.171,0,0.0,4,0.11,-12.614,0,Fever,61,0.0729,135.925,0.397,1959
7679,0.705,Miles Davis,0.517,562640,0.151,0,0.0013599999999999,0,0.1159999999999999,-17.266,1,So What,62,0.0373,136.356,0.21,1959
7678,0.92,The Platters,0.203,160933,0.295,0,2.05e-06,3,0.173,-11.155,1,Smoke Gets In Your Eyes,63,0.0323,171.222,0.285,1959
7677,0.76,Bobby Darin,0.5489999999999999,184333,0.529,0,0.0,3,0.206,-12.291,0,Mack the Knife,61,0.108,82.755,0.4639999999999999,1959
